"id","nLL","kernel","acq","R2","kError","lambda","beta","tau","epsilon"
1345,830.763716370984,"RBF","GM",0.00121775520091338,NA,1.87099976878747,NA,0.901952186523668,NA
1348,715.330087215363,"RBF","GM",0.139997358813105,NA,1.16658082193661,NA,0.124182990451355,NA
1374,810.814019675338,"RBF","GM",0.0252021956092859,NA,1.31426493807585,NA,0.267491083966462,NA
1379,756.055135875223,"RBF","GM",0.0910358373618209,NA,1.14585248648871,NA,0.151146618408986,NA
1388,792.45332109172,"RBF","GM",0.0472762696041552,NA,1.29102770868282,NA,0.196544561951019,NA
1391,831.312110729031,"RBF","GM",0.000558450350241713,NA,1.68419203536724,NA,0.394762811813095,NA
1452,591.085056984343,"RBF","GM",0.289370432954265,NA,1.06102677092307,NA,0.0860817686549579,NA
1454,611.380872832777,"RBF","GM",0.264969872224822,NA,1.14662849735956,NA,0.0911825129360363,NA
1455,798.052646774376,"RBF","GM",0.0405445034419132,NA,1.30602601548766,NA,0.234741469481519,NA
1466,821.94367640786,"RBF","GM",0.0118216117969477,NA,1.30681171741502,NA,0.364574337081542,NA
1532,764.318890059191,"RBF","GM",0.0811007730448737,NA,1.33304403733266,NA,0.171683649004953,NA
1543,829.653818560791,"RBF","GM",0.00255212525646242,NA,1.99893482646082,NA,0.627249148182972,NA
1586,807.500711626596,"RBF","GM",0.0291856065183339,NA,1.50799495371207,NA,0.252672431706152,NA
1590,710.734158495735,"RBF","GM",0.145522795123177,NA,1.13173458582715,NA,0.120752274536606,NA
1596,833.414307965225,"RBF","GM",-0.00196890758944779,NA,1.25927889752395,NA,17.3412549353552,NA
1631,804.987465379039,"RBF","GM",0.0322071464332366,NA,1.1322798291049,NA,0.201376306466953,NA
1663,793.879749777228,"RBF","GM",0.0455613516118514,NA,1.21860098646441,NA,0.169520338967739,NA
168,771.353689962235,"RBF","GM",0.072643213933401,NA,1.24461583359185,NA,0.159935622452082,NA
1693,816.972724424041,"RBF","GM",0.0177979182765755,NA,1.19450706249178,NA,0.258322698331613,NA
1706,832.50156176492,"RBF","GM",-0.000871562242139134,NA,1.44896485115218,NA,1.81672808857476,NA
1720,802.86693431979,"RBF","GM",0.0347565461359276,NA,1.18714182085125,NA,0.181521055051654,NA
1722,805.788650838345,"RBF","GM",0.0312439245257593,NA,1.12099543728032,NA,0.205222792578554,NA
1732,830.405397408996,"RBF","GM",0.00164854269217707,NA,1.54109820883333,NA,0.76295605683356,NA
