"id","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","epsilon","roundnLL"
317,6,831.776822104777,-2.46980786045015e-07,"BMT","GM",54.5981499732332,NA,NA,54.5981500316608,NA,103.972101692311
317,7,831.776822104777,-2.46980786045015e-07,"BMT","GM",54.5981500301577,NA,NA,54.5981500233799,NA,103.97209265918
317,8,831.776822104777,-2.46980786045015e-07,"BMT","GM",54.5981500267841,NA,NA,54.5981500090719,NA,103.97209547321
317,9,831.776822104777,-2.46980786045015e-07,"BMT","GM",54.5981499865136,NA,NA,54.5981500155729,NA,103.972113466542
333,2,831.776868223261,-3.02426542919676e-07,"BMT","GM",54.5981500248562,NA,NA,54.5981499795081,NA,103.97211132394
333,3,831.776868223261,-3.02426542919676e-07,"BMT","GM",54.5981499399392,NA,NA,54.598149266501,NA,103.972107722837
333,4,831.776868223261,-3.02426542919676e-07,"BMT","GM",54.5981499130627,NA,NA,54.5981499369849,NA,103.97210791141
333,5,831.776868223261,-3.02426542919676e-07,"BMT","GM",54.5981500259509,NA,NA,54.5981500146862,NA,103.972104644692
333,6,831.776868223261,-3.02426542919676e-07,"BMT","GM",54.598149929262,NA,NA,54.598149776409,NA,103.97210938863
333,7,831.776868223261,-3.02426542919676e-07,"BMT","GM",54.5981500105625,NA,NA,54.5981500189209,NA,103.972100751826
333,8,831.776868223261,-3.02426542919676e-07,"BMT","GM",54.5981500194002,NA,NA,54.5981500205069,NA,103.972110321706
333,9,831.776868223261,-3.02426542919676e-07,"BMT","GM",54.5981499250918,NA,NA,54.5981499568974,NA,103.97211615822
334,2,730.096603763001,0.122244375317703,"BMT","GM",4.9602850336595,NA,NA,0.0488288073125205,NA,92.5114488377778
334,3,730.096603763001,0.122244375317703,"BMT","GM",3.18792104353397,NA,NA,0.0739418643564611,NA,88.5095430273521
334,4,730.096603763001,0.122244375317703,"BMT","GM",3.04638763158363,NA,NA,0.0737967428490169,NA,92.9675666447019
334,5,730.096603763001,0.122244375317703,"BMT","GM",3.32490418940178,NA,NA,0.0745648908152276,NA,96.2260004821026
334,6,730.096603763001,0.122244375317703,"BMT","GM",3.31345897143247,NA,NA,0.0720442901383003,NA,101.599707823192
334,7,730.096603763001,0.122244375317703,"BMT","GM",3.2543309327786,NA,NA,0.0767591576791721,NA,88.4490672006377
334,8,730.096603763001,0.122244375317703,"BMT","GM",3.32798129637463,NA,NA,0.0753415931465952,NA,94.8669926056405
334,9,730.096603763001,0.122244375317703,"BMT","GM",3.18563822780236,NA,NA,0.0803936977705586,NA,74.9662771415964
353,2,355.193398607513,0.572970204393704,"BMT","GM",10.2603075592268,NA,NA,0.00673794699913088,NA,38.5749822776742
353,3,355.193398607513,0.572970204393704,"BMT","GM",10.0818529789225,NA,NA,0.0067379469994314,NA,70.2329124857181
353,4,355.193398607513,0.572970204393704,"BMT","GM",10.6360657589046,NA,NA,0.0067379469996999,NA,60.8184462876072
353,5,355.193398607513,0.572970204393704,"BMT","GM",10.4861554508536,NA,NA,0.00673794699912239,NA,33.8625589923156
353,6,355.193398607513,0.572970204393704,"BMT","GM",10.7025837833703,NA,NA,0.00673794699951703,NA,28.0562940619155
353,7,355.193398607513,0.572970204393704,"BMT","GM",10.7738741156076,NA,NA,0.00673794699926106,NA,30.8815841562993
353,8,355.193398607513,0.572970204393704,"BMT","GM",10.7177081693497,NA,NA,0.00673794699924516,NA,45.0237680946984
