"lambda","beta","tau","mu","replication"
0.88819867225378,0.126856491916401,0.00673794699908547,37.7510829706607,3
0.88819867225378,0.126856491916401,0.00673794699908547,34.0420834394605,4
0.88819867225378,0.126856491916401,0.00673794699908547,50,5
0.88819867225378,0.126856491916401,0.00673794699908547,38.4151304110431,6
0.88819867225378,0.126856491916401,0.00673794699908547,40.1648362840095,7
0.88819867225378,0.126856491916401,0.00673794699908547,35.131883248453,8
0.88819867225378,0.126856491916401,0.00673794699908547,43.5353674892645,9
0.88819867225378,0.126856491916401,0.00673794699908547,39.9567788594834,10
1.44936145050558,0.126856491916401,0.00673794699908547,47.6170227953789,1
1.44936145050558,0.126856491916401,0.00673794699908547,31.422397639077,2
1.44936145050558,0.126856491916401,0.00673794699908547,39.5976038373015,3
1.44936145050558,0.126856491916401,0.00673794699908547,32.3066011290583,4
1.44936145050558,0.126856491916401,0.00673794699908547,48.94126264896,5
1.44936145050558,0.126856491916401,0.00673794699908547,38.7255733487341,6
1.44936145050558,0.126856491916401,0.00673794699908547,38.745795915276,7
1.44936145050558,0.126856491916401,0.00673794699908547,31.3447402491789,8
1.44936145050558,0.126856491916401,0.00673794699908547,38.9782680365723,9
1.44936145050558,0.126856491916401,0.00673794699908547,36.5609277826104,10
0.204413870080183,0.226811476703398,0.00673794699908547,40.4091332765471,1
0.204413870080183,0.226811476703398,0.00673794699908547,38.6821947152771,2
0.204413870080183,0.226811476703398,0.00673794699908547,26.460657617996,3
0.204413870080183,0.226811476703398,0.00673794699908547,37.5742076367242,4
0.204413870080183,0.226811476703398,0.00673794699908547,34.7368517403087,5
0.204413870080183,0.226811476703398,0.00673794699908547,43.5960317966331,6
0.204413870080183,0.226811476703398,0.00673794699908547,43.1818451720291,7
0.204413870080183,0.226811476703398,0.00673794699908547,39.2604073036205,8
0.204413870080183,0.226811476703398,0.00673794699908547,37.7486251939386,9
0.204413870080183,0.226811476703398,0.00673794699908547,37.8913340929802,10
0.333562290169942,0.226811476703398,0.00673794699908547,49.5401734864714,1
0.333562290169942,0.226811476703398,0.00673794699908547,27.5050385464734,2
0.333562290169942,0.226811476703398,0.00673794699908547,36.1929009194316,3
0.333562290169942,0.226811476703398,0.00673794699908547,37.4961812439752,4
0.333562290169942,0.226811476703398,0.00673794699908547,48.8832483689455,5
0.333562290169942,0.226811476703398,0.00673794699908547,33.6162157661754,6
0.333562290169942,0.226811476703398,0.00673794699908547,34.0220280519402,7
0.333562290169942,0.226811476703398,0.00673794699908547,45.8472300020379,8
0.333562290169942,0.226811476703398,0.00673794699908547,43.8241589466332,9
0.333562290169942,0.226811476703398,0.00673794699908547,42.6574987183864,10
0.544306515892354,0.226811476703398,0.00673794699908547,40.0033084506251,1
0.544306515892354,0.226811476703398,0.00673794699908547,35.2783440407185,2
0.544306515892354,0.226811476703398,0.00673794699908547,36.4002262356138,3
0.544306515892354,0.226811476703398,0.00673794699908547,39.4896582001634,4
0.544306515892354,0.226811476703398,0.00673794699908547,27.7147567375023,5
